"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AC013394.1",1.98329679419895,-3.09307402360873,1.46818417964514,-2.10673433653012,0.0351406141015778,NA
"SYT5",4.43472013700391,-3.08085921234667,1.43164892965625,-2.15196557516822,0.0314000657825868,NA
"CXCL6",2.62144999588116,-3.076922546384,1.48328054561355,-2.07440362882346,0.0380418405910617,NA
"FZD9",3.41921419358559,-3.05149901612367,1.5048664389618,-2.02775404987361,0.0425853562128703,NA
"SLC45A1",29.1332669506681,-3.04157106678459,1.32656430969648,-2.29281840658032,0.02185846185839,0.201008667390319
"AC012020.1",2.89987028113062,-3.03936404802533,1.46883917272927,-2.06922861566787,0.0385246386454289,NA
"NPW",7.49954003541044,-3.02689257941693,1.36678521003338,-2.21460735541834,0.0267870267205075,0.227975479990224
"SLC7A14",4.34293257468202,-3.02340448796453,1.41495211102363,-2.13675393280786,0.0326180108179821,NA
"AC004241.1",5.62018664310244,-2.98487007351868,1.3523288110956,-2.20720733672786,0.0272995774431887,0.229897675345463
"HSD17B8",7.16716095659849,-2.94820224572876,1.30529709373508,-2.25864461039482,0.0239055004981073,0.213594956040169
"AL109615.2",7.02432889248198,-2.94267133261709,1.30973030256072,-2.24677655152646,0.0246543110535089,0.218235655324046
"AC026362.1",3.31526457768038,-2.86374309128194,1.21648574083476,-2.35411151578054,0.018567040024649,NA
"ATP6AP1L",4.96807456280091,-2.82537881462665,1.36759096730144,-2.06595311184437,0.0388329071270688,NA
"HIST1H2BJ",3.9907311054201,-2.81131745002977,1.34791535297162,-2.0856780389302,0.0370077970382963,NA
"SLFN13",3.9730231128454,-2.80155664808542,1.21065062132638,-2.31409177737509,0.0206626883646297,NA
"AC026979.2",6.19856830520966,-2.78863206374748,1.38918014755582,-2.0073941228241,0.0447077141233021,0.30824668253678
"RGMA",54.1930849559253,-2.77870739283989,1.35126210534542,-2.05637927819308,0.0397459720670928,0.289287045663137
"HPSE",11.5704818533982,-2.77137636769661,1.36744771052547,-2.02667812916346,0.0426953405877444,0.300711052146803
"AC105942.1",7.53035595321714,-2.76749281667799,1.39060934203032,-1.99012960220545,0.0465766606469025,0.314564164696666
"PRXL2A",5.47363126315199,-2.7035004817049,1.34478191691272,-2.01036350035956,0.0443927305943045,NA
"SSTR2",5.72807137907372,-2.6657864236796,1.33159601588988,-2.00194833257901,0.0452902886785184,0.310282387700033
"AC040160.1",2.31922023178865,-2.55924436391263,1.29779457785487,-1.9719949578945,0.0486101821114336,NA
