"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LINC02604",14.8031085733068,1.24634838768397,0.499999211586057,2.49270070592792,0.0126775658107076,0.14251888983201
"DUSP5",33.8005304446838,1.2487901210197,0.398443462190674,3.13417144343079,0.00172340131845679,0.0335087746918815
"AC092069.1",36.2488830943204,1.24921383533456,0.346330189244478,3.60700243331294,0.000309754756728384,0.0087652799123643
"ABCA1",20.5423463629564,1.25182794612035,0.323398426898274,3.87085354164113,0.000108454940464588,0.00378857003894094
"CEPT1",13.6084394021669,1.25367259307549,0.410994584790064,3.05033847031309,0.00228583601008268,0.0424424145655893
"RPL32P29",7.37257843858092,1.25441779171624,0.625889300104844,2.00421670654237,0.0450468517128292,0.309191064969541
"TMEM267",7.52471904963031,1.25575374023806,0.503687735447879,2.49311954979694,0.0126626203674357,0.14251888983201
"ALDH1L2",148.467771709967,1.25580834450212,0.11063135553235,11.3512876928901,7.30784447134957e-30,3.92907846663951e-27
"AP003068.1",18.5855903222966,1.25750848810102,0.3948447512637,3.18481753670619,0.00144845304145605,0.0291245045701554
"GPR1",13.8693840908865,1.25985571448846,0.316733538415852,3.97765175355173,6.95992038508345e-05,0.00265636961364018
"CEBPB",35.9203579839944,1.27054924151575,0.305135162197503,4.16388997048257,3.12870931768357e-05,0.00137817767169825
"NPIPA1",46.7550080994903,1.27272152236007,0.497004850738001,2.56078289873874,0.0104436596345535,0.125506603538279
"ARHGAP26",58.0669479446798,1.27285423821239,0.38748276483882,3.28493123750124,0.00102007263439505,0.0224852374276812
"MSC-AS1",19.1726519293287,1.28075658109212,0.334327428115315,3.83084507398048,0.0001277038985476,0.00431471696568204
"MKX",5.89655016183809,1.28522031438,0.574687699590301,2.2363804119981,0.0253268631286643,0.221337095017005
"AC244489.1",19.3137356224428,1.29381411098288,0.34460148863374,3.75452269841473,0.000173672107044005,0.00563682224594796
"MXD1",31.235605890938,1.296804223816,0.426292143104675,3.04205518396705,0.00234968813310741,0.0433675275432929
"FLRT2",132.932082663011,1.29716180216248,0.123071882717642,10.5398712810667,5.65762811571741e-26,2.33207430929872e-23
"BTG1",170.811047169673,1.30867305741876,0.144026186311733,9.08635499509956,1.02414943898235e-19,3.24734152883482e-17
"ROBO3",15.7493549493292,1.31108396068665,0.408654309053535,3.20829594021213,0.00133524025219118,0.0274735124103098
"GPT2",45.4757587636299,1.32003148652886,0.234397047690879,5.63160457664853,1.78540662180202e-08,1.83986152376698e-06
"TUBE1",27.1182309977782,1.3334346041767,0.295577117461715,4.51129172524465,6.44340311972366e-06,0.000354129435460012
"MEX3B",12.4634621377831,1.33924035653361,0.431710708139857,3.10217080855855,0.00192107077634531,0.036773662185815
"C4orf33",10.511416224474,1.34184353347579,0.531601484734383,2.5241530958971,0.0115977408235657,0.133785133418109
"WARS",286.079757679832,1.3714551613997,0.100899065423237,13.5923475172632,4.44588425237007e-42,2.89356866656886e-39
"CPM",76.4059186104689,1.37238054873169,0.674490628114606,2.03469179782066,0.041881894022098,0.298164364696179
"MSC",8.0237880743564,1.37850185361656,0.437576913578424,3.15030754786267,0.00163098672154403,0.0319632041182464
"RALGPS1",16.1353461151637,1.3837855312838,0.627215840109541,2.2062349876912,0.0273675507096191,0.230080497574368
"KLF2",70.4510085432331,1.38955622705922,0.339410712400439,4.09402584035064,4.2394703228537e-05,0.00177112466258138
"FRS3",7.91522369602634,1.3935196471186,0.700043603266366,1.99061835665166,0.04652286058616,0.314372510387134
"AC087292.1",13.7350301427506,1.41091214658164,0.459573227787252,3.07004860438647,0.00214023937838385,0.0401611534948327
"XAF1",17.4553045855497,1.41199411134892,0.303300729026291,4.65542603831502,3.23311455891605e-06,0.00019570973166339
"CYP2R1",15.7351731452379,1.42562488620541,0.580880165100207,2.45424955413907,0.0141178967938071,0.153411170256782
"CLTCL1",44.3458282334126,1.43237398937387,0.256854226693605,5.57660275951973,2.45261059446003e-08,2.43090759216601e-06
"ZNF829",7.88627917137702,1.44005036193126,0.506859888409373,2.84112117542074,0.00449552270532068,0.0709982551392025
